WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
0.22906494140625	3.18328857421875E-06	103.12658273963	1	
0.23126220703125	3.25408935546875E-06	103.370723739014	1	
0.23388671875	3.3270263671875E-06	103.614864738398	1	
0.23663330078125	3.411865234375E-06	103.859005737781	1	
0.23858642578125	3.51409912109375E-06	104.103146737165	1	
0.241058349609375	3.61968994140625E-06	104.347287736548	1	
0.2437744140625	3.73626708984375E-06	104.591428735932	1	
0.246551513671875	3.8604736328125E-06	104.835569735316	1	
0.24871826171875	4.0008544921875E-06	105.079710734699	1	
0.250579833984375	4.1595458984375E-06	105.323851734083	1	
0.253387451171875	4.3365478515625E-06	105.567992733466	1	
0.255950927734375	4.534912109375E-06	105.81213373285	1	
0.258087158203125	4.754638671875E-06	106.056274732234	1	
0.26055908203125	4.998779296875E-06	106.300415731617	1	
